title,genre,cast,description
Movie 2005-942,Comedy,"Kareena Kapoor, Anushka Sharma, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2017-70,Musical,"Varun Dhawan, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2023-414,Thriller,"Rajkummar Rao, Shah Rukh Khan, Hrithik Roshan",An epic battle between good and evil.
Movie 2000-261,Action,"Ajay Devgn, Katrina Kaif",A historical drama based on real events.
Movie 2016-771,Musical,"Salman Khan, Rajkummar Rao, Katrina Kaif",A police officer takes on the criminal underworld.
Movie 2022-413,Sci-Fi,"Alia Bhatt, Varun Dhawan, Ajay Devgn",A sci-fi adventure into uncharted realms.
Movie 2016-381,Sci-Fi,"Kareena Kapoor, Amitabh Bachchan, Anushka Sharma",A thriller that keeps you guessing until the end.
Movie 2019-930,Drama,"Kareena Kapoor, Alia Bhatt, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2018-19,Musical,"Varun Dhawan, Katrina Kaif, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2020-229,Horror,"Rajkummar Rao, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2004-733,Action,"Anushka Sharma, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2003-160,Action,"Aamir Khan, Deepika Padukone",A historical drama based on real events.
Movie 2019-124,Horror,"Shah Rukh Khan, Ajay Devgn",An epic battle between good and evil.
Movie 2007-840,Drama,"Ajay Devgn, Anushka Sharma",A family torn apart by secrets and fate.
Movie 2019-202,Action,"Rajkummar Rao, Ranveer Singh",A family torn apart by secrets and fate.
Movie 2017-460,Drama,"Alia Bhatt, Shah Rukh Khan, Aamir Khan",A love story across lifetimes and parallel worlds.
Movie 2025-130,Musical,"Kareena Kapoor, Katrina Kaif",A love story across lifetimes and parallel worlds.
Movie 2015-874,Fantasy,"Rajkummar Rao, Kareena Kapoor, Hrithik Roshan",A love story across lifetimes and parallel worlds.
Movie 2013-586,Thriller,"Ajay Devgn, Amitabh Bachchan, Katrina Kaif",A gripping tale of revenge and redemption.
Movie 2007-658,Comedy,"Shah Rukh Khan, Ranveer Singh, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2003-4,Romance,"Kareena Kapoor, Deepika Padukone, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2009-972,Musical,"Hrithik Roshan, Rajkummar Rao",A sci-fi adventure into uncharted realms.
Movie 2006-345,Romance,"Ajay Devgn, Anushka Sharma",A police officer takes on the criminal underworld.
Movie 2019-800,Romance,"Ajay Devgn, Katrina Kaif",An epic battle between good and evil.
Movie 2010-661,Fantasy,"Anushka Sharma, Rajkummar Rao, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2008-399,Drama,"Rajkummar Rao, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2015-94,Historical,"Anushka Sharma, Katrina Kaif, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2013-144,Drama,"Katrina Kaif, Aamir Khan, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2020-957,Musical,"Priyanka Chopra, Deepika Padukone, Katrina Kaif",A love story across lifetimes and parallel worlds.
Movie 2021-230,Musical,"Katrina Kaif, Deepika Padukone",A thriller that keeps you guessing until the end.
Movie 2000-703,Fantasy,"Katrina Kaif, Salman Khan",A thriller that keeps you guessing until the end.
Movie 2009-634,Romance,"Deepika Padukone, Anushka Sharma",A sci-fi adventure into uncharted realms.
Movie 2016-797,Fantasy,"Ajay Devgn, Kareena Kapoor",A gripping tale of revenge and redemption.
Movie 2022-751,Musical,"Hrithik Roshan, Amitabh Bachchan, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2022-179,Romance,"Salman Khan, Priyanka Chopra, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2001-132,Thriller,"Deepika Padukone, Rajkummar Rao",A police officer takes on the criminal underworld.
Movie 2025-676,Action,"Kareena Kapoor, Katrina Kaif, Hrithik Roshan",A historical drama based on real events.
Movie 2018-123,Romance,"Aamir Khan, Varun Dhawan, Rajkummar Rao",A historical drama based on real events.
Movie 2001-314,Action,"Hrithik Roshan, Alia Bhatt, Deepika Padukone",A family torn apart by secrets and fate.
Movie 2021-126,Thriller,"Katrina Kaif, Shah Rukh Khan",A thriller that keeps you guessing until the end.
Movie 2003-134,Historical,"Priyanka Chopra, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2016-693,Musical,"Salman Khan, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2007-398,Thriller,"Deepika Padukone, Amitabh Bachchan",An epic battle between good and evil.
Movie 2002-185,Action,"Priyanka Chopra, Alia Bhatt",A family torn apart by secrets and fate.
Movie 2010-141,Historical,"Hrithik Roshan, Shah Rukh Khan, Katrina Kaif",A sci-fi adventure into uncharted realms.
Movie 2019-436,Comedy,"Aamir Khan, Ajay Devgn, Amitabh Bachchan",A historical drama based on real events.
Movie 2022-75,Thriller,"Hrithik Roshan, Salman Khan",A journey of love and sacrifice amidst chaos.
Movie 2020-775,Musical,"Ranveer Singh, Shah Rukh Khan, Anushka Sharma",A family torn apart by secrets and fate.
Movie 2003-472,Sci-Fi,"Varun Dhawan, Anushka Sharma",A police officer takes on the criminal underworld.
Movie 2002-29,Horror,"Alia Bhatt, Amitabh Bachchan, Deepika Padukone",A family torn apart by secrets and fate.
Movie 2011-558,Romance,"Priyanka Chopra, Ajay Devgn, Rajkummar Rao",An epic battle between good and evil.
Lagaan,Historical,"Aamir Khan, Gracy Singh",A village fights unfair British taxes through a cricket match.
Movie 2016-277,Action,"Kareena Kapoor, Deepika Padukone, Anushka Sharma",A comedic twist on modern relationships.
Movie 2001-678,Comedy,"Kareena Kapoor, Varun Dhawan",A gripping tale of revenge and redemption.
Movie 2025-650,Musical,"Kareena Kapoor, Deepika Padukone, Ranveer Singh",A thriller that keeps you guessing until the end.
Movie 2012-871,Drama,"Aamir Khan, Katrina Kaif, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2013-14,Fantasy,"Shah Rukh Khan, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2018-435,Musical,"Hrithik Roshan, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2017-252,Romance,"Aamir Khan, Rajkummar Rao, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2024-285,Historical,"Katrina Kaif, Anushka Sharma",A comedic twist on modern relationships.
Movie 2009-790,Sci-Fi,"Varun Dhawan, Shah Rukh Khan",A historical drama based on real events.
Movie 2017-642,Comedy,"Aamir Khan, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2012-169,Comedy,"Alia Bhatt, Amitabh Bachchan, Ranveer Singh",A thriller that keeps you guessing until the end.
Movie 2004-161,Comedy,"Rajkummar Rao, Anushka Sharma, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2011-246,Drama,"Hrithik Roshan, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2018-643,Comedy,"Amitabh Bachchan, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2000-443,Horror,"Anushka Sharma, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2000-599,Thriller,"Deepika Padukone, Alia Bhatt, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2012-585,Drama,"Anushka Sharma, Rajkummar Rao, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2003-524,Drama,"Ajay Devgn, Alia Bhatt, Aamir Khan",A thriller that keeps you guessing until the end.
Movie 2001-158,Fantasy,"Anushka Sharma, Ajay Devgn",A family torn apart by secrets and fate.
Movie 2009-218,Romance,"Aamir Khan, Varun Dhawan",A historical drama based on real events.
Movie 2004-473,Romance,"Alia Bhatt, Amitabh Bachchan, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2023-232,Action,"Alia Bhatt, Ranveer Singh, Katrina Kaif",A journey of love and sacrifice amidst chaos.
Movie 2004-239,Fantasy,"Shah Rukh Khan, Hrithik Roshan",A comedic twist on modern relationships.
Movie 2015-224,Horror,"Aamir Khan, Katrina Kaif, Varun Dhawan",A historical drama based on real events.
Movie 2006-189,Fantasy,"Katrina Kaif, Anushka Sharma, Salman Khan",A comedic twist on modern relationships.
Movie 2021-958,Historical,"Varun Dhawan, Rajkummar Rao",An epic battle between good and evil.
Movie 2016-43,Horror,"Shah Rukh Khan, Aamir Khan",A family torn apart by secrets and fate.
Movie 2017-564,Historical,"Ranveer Singh, Ajay Devgn, Anushka Sharma",A police officer takes on the criminal underworld.
Movie 2019-150,Action,"Hrithik Roshan, Deepika Padukone, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2025-884,Historical,"Anushka Sharma, Varun Dhawan, Hrithik Roshan",A comedic twist on modern relationships.
Movie 2006-475,Action,"Aamir Khan, Rajkummar Rao, Priyanka Chopra",A journey of love and sacrifice amidst chaos.
Movie 2022-543,Sci-Fi,"Alia Bhatt, Aamir Khan",An epic battle between good and evil.
Movie 2007-242,Action,"Hrithik Roshan, Ranveer Singh, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2007-502,Fantasy,"Anushka Sharma, Ranveer Singh, Amitabh Bachchan",A thriller that keeps you guessing until the end.
Movie 2019-20,Thriller,"Rajkummar Rao, Deepika Padukone",An epic battle between good and evil.
Movie 2012-273,Sci-Fi,"Hrithik Roshan, Ajay Devgn, Shah Rukh Khan",A journey of love and sacrifice amidst chaos.
Movie 2004-31,Horror,"Hrithik Roshan, Anushka Sharma, Salman Khan",A thriller that keeps you guessing until the end.
Raazi,Spy Thriller,"Alia Bhatt, Vicky Kaushal",An Indian spy marries a Pakistani officer to gather intel.
Movie 2016-303,Musical,"Deepika Padukone, Hrithik Roshan",A historical drama based on real events.
Movie 2017-18,Sci-Fi,"Salman Khan, Varun Dhawan",A journey of love and sacrifice amidst chaos.
Movie 2013-40,Thriller,"Ajay Devgn, Hrithik Roshan, Rajkummar Rao",A sci-fi adventure into uncharted realms.
Movie 2006-787,Historical,"Aamir Khan, Ranveer Singh",A historical drama based on real events.
Movie 2017-694,Musical,"Amitabh Bachchan, Priyanka Chopra, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2020-307,Fantasy,"Kareena Kapoor, Anushka Sharma, Rajkummar Rao",A historical drama based on real events.
Movie 2014-847,Sci-Fi,"Rajkummar Rao, Katrina Kaif",A gripping tale of revenge and redemption.
Dil Chahta Hai,Drama,"Aamir Khan, Saif Ali Khan",Three friends deal with love and life after college.
Movie 2009-452,Sci-Fi,"Priyanka Chopra, Varun Dhawan",A thriller that keeps you guessing until the end.
Movie 2023-206,Horror,"Rajkummar Rao, Shah Rukh Khan",A love story across lifetimes and parallel worlds.
Movie 2023-102,Comedy,"Katrina Kaif, Aamir Khan, Anushka Sharma",A historical drama based on real events.
Movie 2024-779,Action,"Deepika Padukone, Ajay Devgn",A love story across lifetimes and parallel worlds.
Bajrangi Bhaijaan,Drama,"Salman Khan, Harshaali Malhotra",A man helps a lost mute girl return to Pakistan.
Movie 2009-296,Musical,"Hrithik Roshan, Ranveer Singh",A police officer takes on the criminal underworld.
Movie 2020-333,Sci-Fi,"Kareena Kapoor, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2006-215,Horror,"Kareena Kapoor, Alia Bhatt, Anushka Sharma",A family torn apart by secrets and fate.
Movie 2023-258,Musical,"Shah Rukh Khan, Hrithik Roshan, Rajkummar Rao",An epic battle between good and evil.
Movie 2019-618,Thriller,"Anushka Sharma, Ranveer Singh",A comedic twist on modern relationships.
Movie 2012-767,Fantasy,"Varun Dhawan, Shah Rukh Khan",An epic battle between good and evil.
Movie 2014-197,Historical,"Aamir Khan, Ranveer Singh",A love story across lifetimes and parallel worlds.
Movie 2012-455,Historical,"Varun Dhawan, Salman Khan, Alia Bhatt",A thriller that keeps you guessing until the end.
Movie 2004-395,Musical,"Aamir Khan, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2013-508,Drama,"Shah Rukh Khan, Ranveer Singh",A love story across lifetimes and parallel worlds.
Movie 2010-453,Fantasy,"Ajay Devgn, Shah Rukh Khan",A thriller that keeps you guessing until the end.
Movie 2024-103,Comedy,"Shah Rukh Khan, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2008-451,Action,"Ajay Devgn, Varun Dhawan",A gripping tale of revenge and redemption.
Movie 2017-96,Action,"Varun Dhawan, Salman Khan, Anushka Sharma",A gripping tale of revenge and redemption.
Movie 2013-664,Fantasy,"Alia Bhatt, Ranveer Singh, Katrina Kaif",A gripping tale of revenge and redemption.
Movie 2005-136,Sci-Fi,"Kareena Kapoor, Salman Khan",A comedic twist on modern relationships.
Movie 2025-598,Thriller,"Aamir Khan, Salman Khan, Kareena Kapoor",A sci-fi adventure into uncharted realms.
Movie 2023-674,Drama,"Priyanka Chopra, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2025-416,Comedy,"Ranveer Singh, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2012-39,Musical,"Ajay Devgn, Amitabh Bachchan, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2004-811,Horror,"Alia Bhatt, Amitabh Bachchan, Deepika Padukone",A police officer takes on the criminal underworld.
Movie 2013-716,Sci-Fi,"Rajkummar Rao, Amitabh Bachchan",A love story across lifetimes and parallel worlds.
Movie 2023-50,Thriller,"Aamir Khan, Rajkummar Rao",A family torn apart by secrets and fate.
Movie 2019-592,Horror,"Priyanka Chopra, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2007-814,Drama,"Deepika Padukone, Salman Khan, Aamir Khan",A family torn apart by secrets and fate.
Movie 2004-551,Sci-Fi,"Ajay Devgn, Alia Bhatt, Priyanka Chopra",A thriller that keeps you guessing until the end.
Movie 2019-904,Romance,"Ranveer Singh, Varun Dhawan, Kareena Kapoor",A gripping tale of revenge and redemption.
Movie 2024-233,Drama,"Ajay Devgn, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2022-283,Horror,"Rajkummar Rao, Hrithik Roshan, Alia Bhatt",A police officer takes on the criminal underworld.
Movie 2010-427,Drama,"Aamir Khan, Rajkummar Rao, Ajay Devgn",A police officer takes on the criminal underworld.
Movie 2010-843,Action,"Amitabh Bachchan, Anushka Sharma, Rajkummar Rao",A family torn apart by secrets and fate.
Movie 2024-129,Horror,"Hrithik Roshan, Anushka Sharma, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2005-448,Historical,"Ranveer Singh, Alia Bhatt, Anushka Sharma",A comedic twist on modern relationships.
Movie 2000-963,Musical,"Deepika Padukone, Salman Khan",A historical drama based on real events.
Movie 2025-832,Thriller,"Alia Bhatt, Varun Dhawan",A thriller that keeps you guessing until the end.
Movie 2016-511,Comedy,"Salman Khan, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2020-593,Horror,"Kareena Kapoor, Anushka Sharma, Hrithik Roshan",A family torn apart by secrets and fate.
Movie 2004-135,Comedy,"Priyanka Chopra, Katrina Kaif, Hrithik Roshan",A sci-fi adventure into uncharted realms.
Movie 2014-665,Drama,"Amitabh Bachchan, Ranveer Singh",A police officer takes on the criminal underworld.
Movie 2024-909,Sci-Fi,"Deepika Padukone, Varun Dhawan, Salman Khan",A thriller that keeps you guessing until the end.
Movie 2021-282,Romance,"Salman Khan, Aamir Khan",An epic battle between good and evil.
Movie 2018-773,Horror,"Kareena Kapoor, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2016-173,Musical,"Alia Bhatt, Deepika Padukone",A gripping tale of revenge and redemption.
Movie 2007-372,Action,"Varun Dhawan, Katrina Kaif, Ajay Devgn",An epic battle between good and evil.
Movie 2021-308,Sci-Fi,"Priyanka Chopra, Ranveer Singh",A journey of love and sacrifice amidst chaos.
Movie 2004-837,Fantasy,"Alia Bhatt, Anushka Sharma, Hrithik Roshan",An epic battle between good and evil.
Movie 2007-346,Action,"Katrina Kaif, Alia Bhatt",A police officer takes on the criminal underworld.
Movie 2002-627,Drama,"Amitabh Bachchan, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2022-23,Thriller,"Varun Dhawan, Hrithik Roshan, Amitabh Bachchan",An epic battle between good and evil.
Movie 2016-199,Historical,"Deepika Padukone, Rajkummar Rao",A family torn apart by secrets and fate.
Movie 2014-15,Sci-Fi,"Varun Dhawan, Ranveer Singh",A thriller that keeps you guessing until the end.
Movie 2004-655,Action,"Ajay Devgn, Anushka Sharma, Aamir Khan",A historical drama based on real events.
Movie 2020-21,Horror,"Ajay Devgn, Shah Rukh Khan, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2005-84,Fantasy,"Alia Bhatt, Shah Rukh Khan",A love story across lifetimes and parallel worlds.
Movie 2000-807,Horror,"Katrina Kaif, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2014-691,Fantasy,"Amitabh Bachchan, Shah Rukh Khan, Rajkummar Rao",A historical drama based on real events.
Movie 2020-255,Drama,"Salman Khan, Aamir Khan, Deepika Padukone",A police officer takes on the criminal underworld.
Movie 2013-612,Fantasy,"Ranveer Singh, Ajay Devgn",A love story across lifetimes and parallel worlds.
Movie 2007-528,Romance,"Varun Dhawan, Shah Rukh Khan, Aamir Khan",A thriller that keeps you guessing until the end.
Movie 2020-827,Romance,"Amitabh Bachchan, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2017-876,Thriller,"Alia Bhatt, Hrithik Roshan",An epic battle between good and evil.
Movie 2011-376,Horror,"Shah Rukh Khan, Deepika Padukone, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2023-518,Thriller,"Aamir Khan, Ajay Devgn, Rajkummar Rao",An epic battle between good and evil.
Movie 2008-919,Romance,"Hrithik Roshan, Shah Rukh Khan, Aamir Khan",A sci-fi adventure into uncharted realms.
Movie 2023-700,Thriller,"Amitabh Bachchan, Varun Dhawan",An epic battle between good and evil.
Movie 2002-81,Drama,"Alia Bhatt, Aamir Khan, Katrina Kaif",A comedic twist on modern relationships.
Movie 2019-852,Sci-Fi,"Salman Khan, Varun Dhawan, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2011-454,Thriller,"Salman Khan, Ajay Devgn",A comedic twist on modern relationships.
Movie 2013-196,Historical,"Ranveer Singh, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2017-928,Romance,"Alia Bhatt, Varun Dhawan",A gripping tale of revenge and redemption.
Movie 2020-515,Romance,"Amitabh Bachchan, Deepika Padukone, Anushka Sharma",An epic battle between good and evil.
Movie 2023-154,Horror,"Aamir Khan, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2014-379,Action,"Hrithik Roshan, Shah Rukh Khan",A love story across lifetimes and parallel worlds.
Movie 2018-201,Historical,"Deepika Padukone, Alia Bhatt, Salman Khan",A gripping tale of revenge and redemption.
Movie 2022-361,Drama,"Rajkummar Rao, Priyanka Chopra",An epic battle between good and evil.
Movie 2008-9,Musical,"Amitabh Bachchan, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2021-204,Musical,"Kareena Kapoor, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2021-776,Horror,"Amitabh Bachchan, Kareena Kapoor, Priyanka Chopra",A journey of love and sacrifice amidst chaos.
Movie 2008-607,Romance,"Katrina Kaif, Aamir Khan",A thriller that keeps you guessing until the end.
Movie 2016-823,Romance,"Varun Dhawan, Priyanka Chopra, Kareena Kapoor",A comedic twist on modern relationships.
Movie 2007-320,Historical,"Ajay Devgn, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2017-408,Historical,"Amitabh Bachchan, Ajay Devgn, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2024-415,Thriller,"Katrina Kaif, Amitabh Bachchan, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2023-24,Action,"Rajkummar Rao, Aamir Khan",A journey of love and sacrifice amidst chaos.
Movie 2024-831,Historical,"Katrina Kaif, Salman Khan",A family torn apart by secrets and fate.
Movie 2022-101,Thriller,"Alia Bhatt, Shah Rukh Khan, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2024-623,Action,"Ranveer Singh, Aamir Khan",A sci-fi adventure into uncharted realms.
Movie 2025-312,Drama,"Ranveer Singh, Anushka Sharma, Katrina Kaif",A historical drama based on real events.
Movie 2000-313,Comedy,"Hrithik Roshan, Priyanka Chopra, Ranveer Singh",A comedic twist on modern relationships.
Movie 2006-579,Thriller,"Rajkummar Rao, Hrithik Roshan",A historical drama based on real events.
Movie 2006-917,Fantasy,"Kareena Kapoor, Amitabh Bachchan",A journey of love and sacrifice amidst chaos.
Movie 2017-538,Action,"Kareena Kapoor, Alia Bhatt",A family torn apart by secrets and fate.
Movie 2022-725,Thriller,"Varun Dhawan, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2022-569,Romance,"Hrithik Roshan, Varun Dhawan, Amitabh Bachchan",A sci-fi adventure into uncharted realms.
Movie 2014-405,Drama,"Varun Dhawan, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2011-90,Sci-Fi,"Anushka Sharma, Rajkummar Rao, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2012-65,Thriller,"Priyanka Chopra, Katrina Kaif",An epic battle between good and evil.
Movie 2012-117,Thriller,"Priyanka Chopra, Alia Bhatt, Deepika Padukone",A comedic twist on modern relationships.
Movie 2000-183,Fantasy,"Katrina Kaif, Amitabh Bachchan, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2013-898,Comedy,"Hrithik Roshan, Priyanka Chopra, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2012-715,Historical,"Ajay Devgn, Salman Khan",A family torn apart by secrets and fate.
Movie 2023-856,Comedy,"Amitabh Bachchan, Ranveer Singh, Salman Khan",A love story across lifetimes and parallel worlds.
Movie 2006-241,Historical,"Amitabh Bachchan, Varun Dhawan, Salman Khan",A gripping tale of revenge and redemption.
Movie 2008-529,Thriller,"Ajay Devgn, Priyanka Chopra",A thriller that keeps you guessing until the end.
Movie 2009-504,Drama,"Shah Rukh Khan, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2005-500,Thriller,"Katrina Kaif, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2003-628,Fantasy,"Amitabh Bachchan, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2004-343,Romance,"Amitabh Bachchan, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2012-403,Fantasy,"Deepika Padukone, Rajkummar Rao",A journey of love and sacrifice amidst chaos.
Queen,Drama,Kangana Ranaut,A woman rediscovers herself on a solo honeymoon trip.
Movie 2016-979,Horror,"Kareena Kapoor, Alia Bhatt",A journey of love and sacrifice amidst chaos.
Movie 2013-872,Horror,"Shah Rukh Khan, Katrina Kaif, Rajkummar Rao",A sci-fi adventure into uncharted realms.
Movie 2002-159,Thriller,"Varun Dhawan, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2005-370,Thriller,"Anushka Sharma, Kareena Kapoor, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2013-456,Romance,"Salman Khan, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2020-905,Fantasy,"Kareena Kapoor, Ajay Devgn, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2020-489,Sci-Fi,"Alia Bhatt, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2000-651,Thriller,"Salman Khan, Kareena Kapoor, Hrithik Roshan",A family torn apart by secrets and fate.
Movie 2006-33,Horror,"Ajay Devgn, Kareena Kapoor, Katrina Kaif",A journey of love and sacrifice amidst chaos.
Movie 2000-781,Horror,"Varun Dhawan, Rajkummar Rao",An epic battle between good and evil.
Movie 2013-794,Historical,"Ranveer Singh, Katrina Kaif, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2013-482,Romance,"Varun Dhawan, Deepika Padukone",A police officer takes on the criminal underworld.
Movie 2008-945,Action,"Katrina Kaif, Rajkummar Rao",A historical drama based on real events.
Movie 2004-915,Comedy,"Deepika Padukone, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2012-299,Fantasy,"Kareena Kapoor, Ranveer Singh, Rajkummar Rao",A family torn apart by secrets and fate.
Movie 2019-878,Sci-Fi,"Kareena Kapoor, Salman Khan, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2005-682,Comedy,"Ranveer Singh, Salman Khan",An epic battle between good and evil.
Movie 2006-59,Fantasy,"Ranveer Singh, Shah Rukh Khan",A journey of love and sacrifice amidst chaos.
Movie 2022-335,Fantasy,"Shah Rukh Khan, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2004-603,Fantasy,"Kareena Kapoor, Hrithik Roshan",An epic battle between good and evil.
Movie 2025-156,Action,"Ranveer Singh, Aamir Khan, Ajay Devgn",A family torn apart by secrets and fate.
Movie 2004-759,Thriller,"Aamir Khan, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2018-825,Drama,"Priyanka Chopra, Alia Bhatt, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2025-468,Thriller,"Ajay Devgn, Katrina Kaif, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2001-106,Historical,"Salman Khan, Shah Rukh Khan, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2024-519,Comedy,"Ajay Devgn, Varun Dhawan, Anushka Sharma",A family torn apart by secrets and fate.
Andhadhun,Thriller,"Ayushmann Khurrana, Tabu",A blind pianist gets entangled in a murder mystery.
Movie 2002-601,Sci-Fi,"Ranveer Singh, Katrina Kaif, Salman Khan",A gripping tale of revenge and redemption.
Movie 2002-523,Fantasy,"Ranveer Singh, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2025-520,Action,"Ranveer Singh, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2019-956,Horror,"Katrina Kaif, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2013-560,Fantasy,"Katrina Kaif, Shah Rukh Khan, Priyanka Chopra",A historical drama based on real events.
Movie 2021-802,Musical,"Rajkummar Rao, Priyanka Chopra, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2016-615,Sci-Fi,"Aamir Khan, Anushka Sharma",A historical drama based on real events.
Movie 2009-816,Romance,"Salman Khan, Rajkummar Rao",A journey of love and sacrifice amidst chaos.
Movie 2007-736,Fantasy,"Deepika Padukone, Hrithik Roshan, Priyanka Chopra",An epic battle between good and evil.
Movie 2009-36,Drama,"Salman Khan, Priyanka Chopra, Katrina Kaif",A sci-fi adventure into uncharted realms.
Movie 2025-858,Comedy,"Deepika Padukone, Rajkummar Rao",A historical drama based on real events.
Movie 2019-46,Horror,"Salman Khan, Rajkummar Rao, Hrithik Roshan",An epic battle between good and evil.
Movie 2005-474,Comedy,"Anushka Sharma, Varun Dhawan, Aamir Khan",A love story across lifetimes and parallel worlds.
Movie 2001-834,Sci-Fi,"Katrina Kaif, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2015-328,Drama,"Ranveer Singh, Amitabh Bachchan",A police officer takes on the criminal underworld.
Movie 2023-440,Romance,"Shah Rukh Khan, Ranveer Singh, Deepika Padukone",A journey of love and sacrifice amidst chaos.
Movie 2019-540,Drama,"Anushka Sharma, Amitabh Bachchan",A police officer takes on the criminal underworld.
PK,Sci-Fi,"Aamir Khan, Anushka Sharma",An alien explores Earth and questions religious dogma.
Movie 2011-636,Sci-Fi,"Salman Khan, Ranveer Singh",A comedic twist on modern relationships.
Movie 2023-752,Romance,"Alia Bhatt, Deepika Padukone",A historical drama based on real events.
Movie 2015-510,Historical,"Shah Rukh Khan, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2020-203,Historical,"Varun Dhawan, Salman Khan, Priyanka Chopra",A sci-fi adventure into uncharted realms.
